product,product_information,price,price_ordinary,customer_discount_percentage,customer_offer_valid_from,customer_offer_valid_to,member_offer,member_offer_available_from,member_offer_available_to,product_link,member_price,member_price_valid_from,member_price_valid_to,produkter_kategorier,links
Frø Puslingkrage,Hvit,24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-puslingkrage-hvit-200156,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKO'}]"
Frø Blomsterert,"Royal Scarlet, rød",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-blomsterert-royal-scarlet-rod-200209,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKP'}]"
Frø Karse,"Krydder, organic",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-karse-krydder-organic-200252,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKQ'}]"
Frø Gulrot,"Sommer-, Pariser Markt",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-gulrot-sommer-pariser-markt-200176,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKR'}]"
Frø Bønne,"Pryd-, Preisgewinner, rød",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-bonne-pryd-preisgewinner-rod-200234,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKS'}]"
Frø Basilikum,"Rød, Rosie, organic",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-basilikum-rod-rosie-organic-200229,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKT'}]"
Frø Brokkoli,"Calabrese Natalino, organic",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-brokkoli-calabrese-natalino-organic-200162,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKU'}]"
Frø Kornblomst,"Høy, organic",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-kornblomst-hoy-organic-200203,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKV'}]"
Frø Asalia,"Sommer, mix",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-asalia-sommer-mix-200200,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKW'}]"
Frø Karse,Greek,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-karse-greek-200172,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKX'}]"
Frø Fløyelsblomst,"Carmen, lav",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-floyelsblomst-carmen-lav-200223,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKY'}]"
Frø Bønne,"Voks-, Kinghorn Wax",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-bonne-voks-kinghorn-wax-200167,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKZ'}]"
Frø Valmue,Orientalsk,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-valmue-orientalsk-200225,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKa'}]"
Frø Salat,"Plukk-, Australische Gele",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-salat-plukk-australische-gele-200190,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKb'}]"
Frø Solsikke,"Kjempe-, gul",24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-solsikke-kjempe-gul-200159,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKc'}]"
Frø Grasløk,"Alminnelig, Twiggy",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-graslok-alminnelig-twiggy-200169,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKd'}]"
Frø Karse,Krydder,24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-karse-krydder-200139,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKe'}]"
Frø Asters,"Dverg-, mix",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-asters-dverg-mix-200199,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKf'}]"
Frø Salat,"Vinter-, Vit, organic",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-salat-vinter-vit-organic-200189,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKg'}]"
Frø Salat,"Is-, Great Lakes 118",24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-salat-is-great-lakes-118-200149,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKh'}]"
Frø Mix,Sommerblomster,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-mix-sommerblomster-200201,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKi'}]"
Frø Gress,"Dekorasjons-, Innendørs",14.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-gress-dekorasjons-innendors-200136,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKj'}]"
Frø Mirakelblomst,Blandede farger,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-mirakelblomst-blandede-farger-200224,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKk'}]"
Frø Tomat,"Høy, Moneymaker",24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-tomat-hoy-moneymaker-200152,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKl'}]"
Frø Ringkrage,Blandede farger,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-ringkrage-blandede-farger-200219,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKm'}]"
Frø Gulrot,"Vinter-, Flakkée 2",24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-gulrot-vinter-flakk-e-2-200145,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKn'}]"
